Date,Team_A,Score_A,Score_B,Team_B,Winner
13-08-2022,Sampdoria,0,2,Atalanta,Atalanta
21-08-2022,Atalanta,1,1,Milan,Draw
28-08-2022,Verona,0,1,Atalanta,Atalanta
01-09-2022,Atalanta,3,1,Torino,Atalanta
05-09-2022,Monza,0,2,Atalanta,Atalanta
11-09-2022,Atalanta,1,1,Cremonese,Draw
18-09-2022,Roma,0,1,Atalanta,Atalanta
02-10-2022,Atalanta,1,0,Fiorentina,Atalanta
09-10-2022,Udinese,2,2,Atalanta,Draw
15-10-2022,Atalanta,2,1,Sassuolo,Atalanta
23-10-2022,Atalanta,0,2,Lazio,Lazio
30-10-2022,Empoli,0,2,Atalanta,Atalanta
05-11-2022,Atalanta,1,2,Napoli,Napoli
09-11-2022,Lecce,2,1,Atalanta,Lecce
13-11-2022,Atalanta,2,3,Inter,Inter
04-01-2023,Spezia,2,2,Atalanta,Draw
09-01-2023,Bologna,1,2,Atalanta,Atalanta
15-01-2023,Atalanta,8,2,Salernitana,Atalanta
22-01-2023,Juventus,3,3,Atalanta,Draw
28-01-2023,Atalanta,2,0,Sampdoria,Atalanta
04-02-2023,Sassuolo,1,0,Atalanta,Sassuolo
11-02-2023,Lazio,0,2,Atalanta,Atalanta
19-02-2023,Atalanta,1,2,Lecce,Lecce
26-02-2023,Milan,2,0,Atalanta,Milan
04-03-2023,Atalanta,0,0,Udinese,Draw
11-03-2023,Napoli,2,0,Atalanta,Napoli
17-03-2023,Atalanta,2,1,Empoli,Atalanta
01-04-2023,Cremonese,1,3,Atalanta,Atalanta
08-04-2023,Atalanta,0,2,Bologna,Bologna
17-04-2023,Fiorentina,1,1,Atalanta,Draw
24-04-2023,Atalanta,3,1,Roma,Atalanta
29-04-2023,Torino,1,2,Atalanta,Atalanta
03-05-2023,Atalanta,3,2,Spezia,Atalanta
07-05-2023,Atalanta,0,2,Juventus,Juventus
13-05-2023,Salernitana,1,0,Atalanta,Salernitana
20-05-2023,Atalanta,3,1,Verona,Atalanta
27-05-2023,Inter,3,2,Atalanta,Inter
